"Qty";"Value";"Device";"Package";"Parts";"Description";"3D_PACKAGE";"ALLIED_NUMBER";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OTHER_PART_NUMBER";"RS_PART_NUMBER";"SUPPLIER_NAME";"TP_SIGNAL_NAME";
"3";"";"LEDSML0603";"SML0603";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.01";"R-EU_R3216";"R3216";"R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"9";"0.1u";"C-EUC0603K";"C0603K";"C1, C2, C3, C7, C8, C10, C12, C19, C34";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0.33u";"C-EUC0805K";"C0805K";"C20";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100p";"C-EUC0402";"C0402";"C17, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"10k";"R-EU_R0402";"R0402";"R7, R8, R9, R10, R11, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R29";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10p";"C-EUC0603K";"C0603K";"C21, C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10u";"C-EUC0805K";"C0805K";"C9";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10u";"C-EUC1206";"C1206";"C4, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"13";"10u";"C-EUC3216";"C3216";"C14, C15, C16, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"15k";"R-EU_R0402";"R0402";"R14, R26";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k";"R-EU_R0402";"R0402";"R25";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R-EU_R0603";"R0603";"R27, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"20";"R-EU_R0603";"R0603";"R1, R2, R3, R4, R5, R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"20k";"R-EU_R0603";"R0603";"R15, R16, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"220n";"C-EUC0805K";"C0805K";"C13";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"47u";"C-EUC1206K";"C1206K";"C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"560";"R-EU_R0402";"R0402";"R22, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"8.2k";"R-EU_R0402";"R0402";"R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ADM4852ACPZ-REEL7";"ADM4852ACPZ-REEL7";"SON50P300X300X85-9N";"IC3";"ANALOG DEVICES - ADM4852ACPZ-REEL7 - RS422/RS485 TXRX, 2.5MBPS, 5.25V, LFCSP8";"";"";"ANALOG DEVICES - ADM4852ACPZ-REEL7 - RS422/RS485 TXRX, 2.5MBPS, 5.25V, LFCSP8";"0.85mm";"Analog Devices";"ADM4852ACPZ-REEL7";"";"";"";"";"RS";"";
"1";"AS5047P-ATSM";"AS5047P-ATSM";"SOP65P640X120-14N";"IC2";"Board Mount Hall Effect / Magnetic Sensors 14 bit core res Up to 28krpm";"";"";"Board Mount Hall Effect / Magnetic Sensors 14 bit core res Up to 28krpm";"1.2mm";"ams";"AS5047P-ATSM";"";"";"";"";"RS";"";
"2";"BAT60J";"BAT60J";"SOD323_ST";"D2, D3";"Schottky barrier diode";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"DF61-2P-2.2V(23)";"DF61-2P-2.2V(23)";"DF61-2P-2.2V";"CN1";"Hirose DF61 Series, 2.2mm Pitch, 2 Way 1 Row Shrouded Straight PCB Header, Solder Termination";"";"";"Hirose DF61 Series, 2.2mm Pitch, 2 Way 1 Row Shrouded Straight PCB Header, Solder Termination";"mm";"Hirose";"DF61-2P-2.2V(23)";"";"";"";"7922837P";"RS";"";
"1";"DF65-3P-1.7V(21)";"DF65-3P-1.7V(21)";"DF65-3P-1.7V";"CN2";"Hirose DF Series, Series Number 65, 1.7mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination, 4A";"";"";"Hirose DF Series, Series Number 65, 1.7mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination, 4A";"mm";"Hirose";"DF65-3P-1.7V(21)";"";"";"";"8735164";"RS";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H5, H6, H7, H8";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NJM78L05S";"NJM78L05S";"SOT89R";"U$6";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"NP";"R-EU_R0402";"R0402";"R21";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"PSMN2R4-30MLD";"PSMN2R4-30MLD";"LFPAK33";"Q1, Q2, Q3, Q4, Q5, Q6";"N-channel 30 V 2.4 mĦ logic level MOSFET";"";"";"";"";"";"";"Nexperia USA Inc.";"PSMN2R4-30MLD ";"";"";"";"";
"1";"SKRP";"SKRP";"SKRP";"SW1";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"CN5, CN7";"4 way side entry SMT header,1mm pitch JST SH Series, 1mm Pitch 4 Way 1 Row Right Angle PCB Header, Solder Termination, 1A";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SM05B-SRSS-TB";"SM05B-SRSS-TB";"SM05B-SRSS-TB";"CN3, CN6";"JST SH Series, 1mm Pitch 5 Way 1 Row Right Angle PCB Header, Solder Termination, 1A";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SMF5.0AT1";"SMF5.0AT1";"SOD123FL";"D1";"200 W Transient Voltage Suppressor";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SRN3015-220M";"SRN3015-220M";"SRN3015";"L1";"Power Inductor semi-shielded SMD 22uH Bourns SRN3015 Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 22 H 20% Wire-Wound 600mA Idc";"";"";"Power Inductor semi-shielded SMD 22uH Bourns SRN3015 Series Shielded Wire-wound SMD Inductor with a Ferrite Core, 22 H 20% Wire-Wound 600mA Idc";"mm";"Bourns";"SRN3015-220M";"";"";"";"7435087";"RS";"";
"1";"STSPIN32F0A";"STSPIN32F0A";"VFQFPN48_7X7X1.0-48L";"IC1";"Advanced BLDC controller with embedded STM32 MCU";"";"";"Advanced BLDC controller with embedded STM32 MCU";"1mm";"STMicroelectronics";"STSPIN32F0ATR";"";"";"";"";"RS";"";
"3";"TPTP08R";"TPTP08R";"TP08R";"TP1, TP2, TP3";"Test pad";"";"";"";"";"";"";"";"";"";"";"";"";
